D:\ClaudeOnly\games\9x9game\assets\char_mage.png	A cheerful boy wizard about ten years old with round glasses, short navy hair, a star-patterned indigo robe and a crystal-tipped wand raised beside him, side view facing right, ready battle stance, confident expression, isolated on a plain solid pure black background with nothing else in the frame, full body, centered, soft warm rim light from the left, polished mobile game art, semi-realistic anime shading, clean line work, crisp edges, bright saturated colors, no scenery, no props on the floor, no ground shadow, no text, no letters, no logos, no watermark
D:\ClaudeOnly\games\9x9game\assets\char_knight.png	A brave girl knight about ten years old with short chestnut hair and a green headband, light silver armor over a red tunic, holding a round shield and a short sword, side view facing right, ready battle stance, confident expression, isolated on a plain solid pure black background with nothing else in the frame, full body, centered, soft warm rim light from the left, polished mobile game art, semi-realistic anime shading, clean line work, crisp edges, bright saturated colors, no scenery, no props on the floor, no ground shadow, no text, no letters, no logos, no watermark
D:\ClaudeOnly\games\9x9game\assets\char_archer.png	A lively boy archer about ten years old with dark skin and curly black hair, a leaf-green hooded cape, holding a small wooden bow with a glowing arrow, side view facing right, ready battle stance, confident expression, isolated on a plain solid pure black background with nothing else in the frame, full body, centered, soft warm rim light from the left, polished mobile game art, semi-realistic anime shading, clean line work, crisp edges, bright saturated colors, no scenery, no props on the floor, no ground shadow, no text, no letters, no logos, no watermark
D:\ClaudeOnly\games\9x9game\assets\mob_bat.png	A round purple bat monster with oversized ears, tiny fangs and big yellow eyes, cute but menacing video game enemy monster, side view facing left, chunky readable silhouette, isolated on a plain solid pure black background with nothing else in the frame, full body, centered, soft warm rim light from the left, polished mobile game art, semi-realistic anime shading, clean line work, crisp edges, bright saturated colors, no scenery, no props on the floor, no ground shadow, no text, no letters, no logos, no watermark
D:\ClaudeOnly\games\9x9game\assets\mob_mush.png	A grumpy red mushroom monster with white spots, stubby legs and folded arms, cute but menacing video game enemy monster, side view facing left, chunky readable silhouette, isolated on a plain solid pure black background with nothing else in the frame, full body, centered, soft warm rim light from the left, polished mobile game art, semi-realistic anime shading, clean line work, crisp edges, bright saturated colors, no scenery, no props on the floor, no ground shadow, no text, no letters, no logos, no watermark
D:\ClaudeOnly\games\9x9game\assets\mob_ghost.png	A translucent pale blue ghost blob with a mischievous grin and wispy tail, cute but menacing video game enemy monster, side view facing left, chunky readable silhouette, isolated on a plain solid pure black background with nothing else in the frame, full body, centered, soft warm rim light from the left, polished mobile game art, semi-realistic anime shading, clean line work, crisp edges, bright saturated colors, no scenery, no props on the floor, no ground shadow, no text, no letters, no logos, no watermark
D:\ClaudeOnly\games\9x9game\assets\mob_cactus.png	A spiky green cactus monster with angry eyebrows, small pink flowers on top and stubby arms, cute but menacing video game enemy monster, side view facing left, chunky readable silhouette, isolated on a plain solid pure black background with nothing else in the frame, full body, centered, soft warm rim light from the left, polished mobile game art, semi-realistic anime shading, clean line work, crisp edges, bright saturated colors, no scenery, no props on the floor, no ground shadow, no text, no letters, no logos, no watermark
D:\ClaudeOnly\games\9x9game\assets\mob_ice.png	A crystalline ice elemental monster made of pale blue shards with glowing white eyes, cute but menacing video game enemy monster, side view facing left, chunky readable silhouette, isolated on a plain solid pure black background with nothing else in the frame, full body, centered, soft warm rim light from the left, polished mobile game art, semi-realistic anime shading, clean line work, crisp edges, bright saturated colors, no scenery, no props on the floor, no ground shadow, no text, no letters, no logos, no watermark
D:\ClaudeOnly\games\9x9game\assets\mob_flame.png	A living orange flame monster with coal-black eyes and small ember hands, cute but menacing video game enemy monster, side view facing left, chunky readable silhouette, isolated on a plain solid pure black background with nothing else in the frame, full body, centered, soft warm rim light from the left, polished mobile game art, semi-realistic anime shading, clean line work, crisp edges, bright saturated colors, no scenery, no props on the floor, no ground shadow, no text, no letters, no logos, no watermark
D:\ClaudeOnly\games\9x9game\assets\mob_robot.png	A boxy retro robot monster with one big glowing green eye, riveted metal plates and claw arms, cute but menacing video game enemy monster, side view facing left, chunky readable silhouette, isolated on a plain solid pure black background with nothing else in the frame, full body, centered, soft warm rim light from the left, polished mobile game art, semi-realistic anime shading, clean line work, crisp edges, bright saturated colors, no scenery, no props on the floor, no ground shadow, no text, no letters, no logos, no watermark
D:\ClaudeOnly\games\9x9game\assets\mob_dragon.png	A large armored purple dragon boss with golden horns, spread leathery wings and a fierce roar, cute but menacing video game enemy monster, side view facing left, chunky readable silhouette, isolated on a plain solid pure black background with nothing else in the frame, full body, centered, soft warm rim light from the left, polished mobile game art, semi-realistic anime shading, clean line work, crisp edges, bright saturated colors, no scenery, no props on the floor, no ground shadow, no text, no letters, no logos, no watermark
D:\ClaudeOnly\games\9x9game\assets\fx_fire.png	A blazing fireball projectile with a bright white-hot core, orange flames and trailing embers, flying to the right, side view, glowing energy effect, isolated on pure black background, 1:1 composition, no text, no letters, no logos, no watermark
D:\ClaudeOnly\games\9x9game\assets\fx_ice.png	A sharp cluster of pale blue ice crystal shards with frost mist, flying to the right, side view, glowing energy effect, isolated on pure black background, 1:1 composition, no text, no letters, no logos, no watermark
D:\ClaudeOnly\games\9x9game\assets\fx_thunder.png	A jagged branching lightning bolt in white and electric blue with crackling sparks, striking downward, glowing energy effect, isolated on pure black background, 1:1 composition, no text, no letters, no logos, no watermark
D:\ClaudeOnly\games\9x9game\assets\fx_holy.png	A radiant golden magic circle seen at a slight angle, with glowing runes and rising light motes, warm gold and white, glowing energy effect, isolated on pure black background, 1:1 composition, no text, no letters, no logos, no watermark
D:\ClaudeOnly\games\9x9game\assets\fx_slash_big.png	A huge crescent energy slash arc in white and pale gold with sparks along the edge, cutting from upper left to lower right, glowing energy effect, isolated on pure black background, 1:1 composition, no text, no letters, no logos, no watermark
